Date,USDJPY,USDJPY_Vol,USDINR,EURUSD,GBPUSD,VIX
2021-03-29,110.69000244140625,0,73.28730010986328,1.1760306358337402,1.3829996585845947,17.329999923706055
2021-04-05,109.6500015258789,0,74.72920227050781,1.1901800632476807,1.3709993362426758,16.690000534057617
2021-04-12,108.7699966430664,0,74.53299713134766,1.198230504989624,1.3835009336471558,16.25
2021-04-19,107.88999938964844,0,75.21150207519531,1.2097500562667847,1.387499451637268,17.329999923706055
2021-04-26,109.21099853515625,0,74.08799743652344,1.202060341835022,1.3817994594573975,18.610000610351562
2021-05-03,108.56999969482422,0,73.25399780273438,1.2163896560668945,1.3976006507873535,16.690000534057617
2021-05-10,109.3499984741211,0,73.44490051269531,1.2146196365356445,1.4099997282028198,18.809999465942383
2021-05-17,108.88999938964844,0,73.02189636230469,1.2181603908538818,1.4151997566223145,20.149999618530273
2021-05-24,109.83899688720703,0,72.68299865722656,1.2192906141281128,1.4189993143081665,16.760000228881836
2021-05-31,109.5199966430664,0,73.04419708251953,1.2166900634765625,1.4162501096725464,16.420000076293945
2021-06-07,109.64600372314453,0,73.01229858398438,1.210939645767212,1.4109009504318237,15.649999618530273
2021-06-14,110.22000122070312,0,74.25389862060547,1.18647038936615,1.3812994956970215,20.700000762939453
2021-06-21,110.76000213623047,0,74.22000122070312,1.1936707496643066,1.3890007734298706,15.619999885559082
2021-06-28,111.0199966430664,0,74.7437973022461,1.187000036239624,1.3823992013931274,15.069999694824219
2021-07-05,110.08999633789062,0,74.48699951171875,1.187799334526062,1.3904008865356445,16.18000030517578
2021-07-12,110.02999877929688,0,74.90129852294922,1.1805803775787354,1.3776001930236816,18.450000762939453
2021-07-19,110.5250015258789,0,74.427001953125,1.1771602630615234,1.3749995231628418,17.200000762939453
2021-07-26,109.66999816894531,0,74.25199890136719,1.186760425567627,1.391000509262085,18.239999771118164
2021-08-02,110.19999694824219,0,74.2030029296875,1.1763806343078613,1.3878999948501587,16.149999618530273
2021-08-09,109.56999969482422,0,74.26010131835938,1.17974054813385,1.3869991302490234,15.449999809265137
2021-08-16,109.77999877929688,0,74.34500122070312,1.1697999238967896,1.362399697303772,18.559999465942383
2021-08-23,109.77400207519531,0,74.15599822998047,1.1796404123306274,1.3770006895065308,16.389999389648438
2021-08-30,109.68900299072266,0,73.0542984008789,1.1884502172470093,1.3869991302490234,16.40999984741211
2021-09-06,109.88999938964844,0,73.53800201416016,1.1815693378448486,1.3840006589889526,20.950000762939453
2021-09-13,109.81800079345703,0,73.56490325927734,1.1726903915405273,1.3742002248764038,20.809999465942383
2021-09-20,110.32599639892578,0,73.83999633789062,1.1721103191375732,1.3690004348754883,17.75
2021-09-27,111.04100036621094,0,74.25440216064453,1.15968918800354,1.3550007343292236,21.100000381469727
2021-10-04,112.19000244140625,0,75.29850006103516,1.1576753854751587,1.3615000247955322,18.770000457763672
2021-10-11,114.25800323486328,0,74.99500274658203,1.159944772720337,1.3749995231628418,16.299999237060547
2021-10-18,113.33599853515625,0,74.9990005493164,1.1648223400115967,1.3761992454528809,15.430000305175781
2021-10-25,113.83499908447266,0,74.79720306396484,1.156136155128479,1.3690004348754883,16.260000228881836
2021-11-01,113.41000366210938,0,74.47810363769531,1.1547343730926514,1.3498992919921875,16.479999542236328
2021-11-08,113.92900085449219,0,74.34700012207031,1.144426703453064,1.3420008420944214,16.290000915527344
2021-11-15,113.75299835205078,0,74.17440032958984,1.1281588077545166,1.3450008630752563,17.90999984741211
2021-11-22,113.71900177001953,0,74.50579833984375,1.1293182373046875,1.334098219871521,28.6200008392334
