Date,USDJPY,USDJPY_Vol,USDINR,EURUSD,GBPUSD,VIX
2024-03-27,151.52999877929688,0.0,83.34549713134766,1.0832358598709106,1.2628495693206787,12.779999732971191
2024-03-28,151.28700256347656,0.0,83.36499786376953,1.0813382863998413,1.261670470237732,13.010000228881836
2024-03-29,151.44000244140625,0.0,83.39299774169922,1.0794472694396973,1.26262629032135,13.010000228881836
2024-04-01,151.3979949951172,0.0,83.36479949951172,1.0792726278305054,1.2637271881103516,13.649999618530273
2024-04-02,151.58099365234375,0.0,83.40969848632812,1.0737217664718628,1.2545477151870728,14.609999656677246
2024-04-03,151.5399932861328,0.0,83.35030364990234,1.076855182647705,1.2576876878738403,14.329999923706055
2024-04-04,151.58099365234375,0.0,83.37329864501953,1.0838346481323242,1.2651821374893188,16.350000381469727
2024-04-05,151.29200744628906,0.0,83.47779846191406,1.0837054252624512,1.26401948928833,16.030000686645508
2024-04-08,151.69000244140625,0.0,83.29679870605469,1.0830481052398682,1.2625305652618408,15.1899995803833
2024-04-09,151.84300231933594,0.0,83.26959991455078,1.0863661766052246,1.2658709287643433,14.979999542236328
2024-04-10,151.77699279785156,0.0,83.22429656982422,1.0859296321868896,1.2677645683288574,15.800000190734863
2024-04-11,152.96400451660156,0.0,83.4126968383789,1.074171543121338,1.2537612915039062,14.90999984741211
2024-04-12,153.19200134277344,0.0,83.34929656982422,1.0726851224899292,1.2554770708084106,17.309999465942383
2024-04-15,153.2830047607422,0.0,83.61109924316406,1.0649627447128296,1.2461835145950317,19.229999542236328
2024-04-16,154.20599365234375,0.0,83.50599670410156,1.0625749826431274,1.2447409629821777,18.399999618530273
2024-04-17,154.697998046875,0.0,83.6675033569336,1.0621461868286133,1.2431007623672485,18.209999084472656
2024-04-18,154.3419952392578,0.0,83.5958023071289,1.0669398307800293,1.2453765869140625,18.0
2024-04-19,154.61000061035156,0.0,83.54499816894531,1.0644185543060303,1.2437657117843628,18.709999084472656
2024-04-22,154.63999938964844,0.0,83.38529968261719,1.065825343132019,1.2375777959823608,16.940000534057617
2024-04-23,154.81300354003906,0.0,83.38619995117188,1.065405249595642,1.2350252866744995,15.6899995803833
2024-04-24,154.74400329589844,0.0,83.2833023071289,1.0704345703125,1.2453300952911377,15.970000267028809
2024-04-25,155.25900268554688,0.0,83.3405990600586,1.0699878931045532,1.2459505796432495,15.369999885559082
2024-04-26,155.5970001220703,0.0,83.30180358886719,1.072961449623108,1.2509069442749023,15.029999732971191
2024-04-29,158.2239990234375,0.0,83.40229797363281,1.0706866979599,1.2510477304458618,14.670000076293945
2024-04-30,156.31399536132812,0.0,83.45110321044922,1.0715701580047607,1.2559815645217896,15.649999618530273
2024-05-01,157.7220001220703,0.0,83.49839782714844,1.0666552782058716,1.2490164041519165,15.390000343322754
2024-05-02,155.70399475097656,0.0,83.40640258789062,1.0721560716629028,1.2539342641830444,14.680000305175781
2024-05-03,153.0449981689453,0.0,83.40630340576172,1.073306918144226,1.2540600299835205,13.489999771118164
2024-05-06,153.5659942626953,0.0,83.37999725341797,1.0758124589920044,1.2541072368621826,13.489999771118164
2024-05-07,154.23699951171875,0.0,83.4728012084961,1.0767507553100586,1.2559815645217896,13.229999542236328
2024-05-08,154.7480010986328,0.0,83.46990203857422,1.0750491619110107,1.25014066696167,13.0
2024-05-09,155.41900634765625,0.0,83.46430206298828,1.0746910572052002,1.2493284940719604,12.6899995803833
2024-05-10,155.38900756835938,0.0,83.45939636230469,1.078515887260437,1.2525677680969238,12.550000190734863
2024-05-13,155.8179931640625,0.0,83.5248031616211,1.077040672302246,1.2522854804992676,13.600000381469727
2024-05-14,156.23300170898438,0.0,83.50550079345703,1.079354166984558,1.2561867237091064,13.420000076293945
2024-05-15,156.4980010986328,0.0,83.52420043945312,1.0814552307128906,1.2585265636444092,12.449999809265137
2024-05-16,154.28199768066406,0.0,83.40509796142578,1.0889805555343628,1.2690032720565796,12.420000076293945
2024-05-17,155.37899780273438,0.0,83.47010040283203,1.0867793560028076,1.2672007083892822,11.989999771118164
2024-05-20,155.75399780273438,0.0,83.30039978027344,1.0875475406646729,1.2706480026245117,12.149999618530273
